Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,Whitebox Model
390,Verizon,Fiber,KY,South,-5,-4,50,50,50,50,WNR3500L
437,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
447,Verizon,Fiber,PA,Northeast,-5,-4,50,50,50,50,WNR3500L
477,Verizon,Fiber,NJ,Northeast,-5,-4,50,50,50,50,WNR3500L
507,AT&T,IPBB,IL,Midwest,-6,-5,12,12,12,1,WNR3500L
517,Cox,Cable,AZ,West,-7,-7,100,100,100,10,WNR3500L
537,Charter,Cable,IL,Midwest,-6,-5,30,30,30,5,WNR3500L
559,Comcast,Cable,UT,West,-7,-6,105,105,105,10,WNR3500L
563,AT&T,IPBB,CA,West,-8,-7,6,6,6,1,WNR3500L
566,Comcast,Cable,NH,Northeast,-5,-4,60,60,60,5,WNR3500L
576,Verizon,Fiber,PA,Northeast,-5,-4,75,75,75,75,WNR3500L
595,Optimum,Cable,NY,Northeast,-5,-4,100,100,100,35,WNR3500L
602,CenturyLink,DSL,CO,West,-7,-6,1.5,1.5,1.5,0.896,WNR3500L
604,Frontier,DSL,CA,West,-8,-7,3,3,3,0.768,WNR3500L
635,Verizon,Fiber,VA,South,-5,-4,50,50,50,50,WNR3500L
636,Frontier,Fiber,TX,South,-6,-5,75,75,75,75,WNR3500L
661,Frontier,DSL,MI,Midwest,-5,-4,18,18,18,1,WNR3500L
687,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
703,Verizon,Fiber,PA,Northeast,-5,-4,50,50,50,50,WNR3500L
709,Frontier,Fiber,OR,West,-8,-7,50,50,50,50,WNR3500L
763,Verizon,Fiber,MD,South,-5,-4,50,50,50,50,WNR3500L
767,Comcast,Cable,CO,West,-7,-6,70,70,70,5,WNR3500L
782,CenturyLink,DSL,FL,South,-5,-4,10,10,10,0.768,WNR3500L
786,Optimum,Cable,NY,Northeast,-5,-4,100,100,100,35,WNR3500L
790,AT&T,IPBB,CA,West,-8,-7,6,6,6,0.768,WNR3500L
838,Cox,Cable,FL,South,-5,-4,100,100,100,10,WNR3500L
858,Verizon,Fiber,VA,South,-5,-4,75,75,75,75,WNR3500L
866,Comcast,Cable,CT,Northeast,-5,-4,60,60,60,5,WNR3500L
870,Comcast,Cable,CA,West,-5,-4,60,60,60,5,WNR3500L
992,Windstream,DSL,GA,South,-5,-4,12,12,12,0.768,WNR3500L
1014,Verizon,Fiber,NJ,Northeast,-5,-4,75,75,75,75,WNR3500L
1027,Charter,Cable,OH,Midwest,-5,-4,60,60,60,5,WNR3500L
1041,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
1052,Cox,Cable,VA,South,-5,-4,100,100,100,10,WNR3500L
1074,CenturyLink,DSL,FL,South,-5,-4,1.5,1.5,1.5,0.256,WNR3500L
1087,AT&T,IPBB,AR,South,-6,-5,12,12,12,1.5,WNR3500L
1117,Verizon DSL,DSL,NY,Northeast,-5,-4,[1.1 - 3.0],1.1,3,[0.384 - 0.768],WNR3500L
1203,AT&T,IPBB,IL,Midwest,-6,-5,12,12,12,1.5,WNR3500L
1220,Frontier,Fiber,CA,West,-8,-7,50,50,50,50,WNR3500L
1234,Cox,Cable,LA,South,-6,-5,100,100,100,10,WNR3500L
1235,Verizon,Fiber,VA,South,-5,-4,50,50,50,50,WNR3500L
1249,CenturyLink,DSL,IN,Midwest,-5,-4,1.5,1.5,1.5,0.512,WNR3500L
1290,Comcast,Cable,TX,South,-6,-5,60,60,60,5,WNR3500L
5055,Verizon,Fiber,MA,Northeast,-6,-5,75,75,75,75,WNR3500L
5199,Cox,Cable,AZ,West,-7,-7,100,100,100,10,WNR3500L
5201,CenturyLink,DSL,PA,Northeast,-5,-4,40,40,40,5,WNR3500L
5211,Verizon,Fiber,PA,Northeast,-5,-4,75,75,75,75,WNR3500L
5216,Frontier,Fiber,TX,South,-6,-5,50,50,50,50,WNR3500L
5291,Charter,Cable,WI,Midwest,-6,-5,60,60,60,5,WNR3500L
5299,CenturyLink,DSL,CO,West,-7,-6,12,12,12,5,WNR3500L
5300,Charter,Cable,VA,South,-5,-4,60,60,60,5,WNR3500L
5313,Optimum,Cable,NJ,Northeast,-5,-4,100,100,100,35,WNR3500L
5321,Charter,Cable,NC,South,-5,-4,60,60,60,5,WNR3500L
5342,Comcast,Cable,WA,West,-8,-7,105,105,105,10,WNR3500L
5347,Comcast,Cable,CT,Northeast,-6,-5,60,60,60,5,WNR3500L
5353,CenturyLink,DSL,WA,West,-8,-7,40,40,40,5,WNR3500L
5388,Comcast,Cable,ME,Northeast,-6,-5,60,60,60,5,WNR3500L
5397,Cox,Cable,CA,West,-8,-7,100,100,100,10,WNR3500L
5407,Verizon,Fiber,NJ,Northeast,-6,-5,50,50,50,50,WNR3500L
5431,Frontier,Fiber,FL,South,-5,-4,50,50,50,50,WNR3500L
5440,Comcast,Cable,MD,South,-5,-4,60,60,60,5,WNR3500L
5471,Cox,Cable,AZ,West,-7,-7,100,100,100,10,WNR3500L
5518,Comcast,Cable,WA,West,-8,-7,60,60,60,5,WNR3500L
5521,Verizon,Fiber,MD,South,-5,-4,75,75,75,75,WNR3500L
5542,CenturyLink,DSL,MO,Midwest,-7,-6,12,12,12,0.896,WNR3500L
5549,Frontier,Fiber,TX,South,-6,-5,50,50,50,50,WNR3500L
5552,Comcast,Cable,CA,West,-8,-7,75,75,75,5,WNR3500L
5596,AT&T,IPBB,TN,South,-6,-5,12,12,12,1.5,WNR3500L
5606,Comcast,Cable,MD,South,-5,-4,60,60,60,5,WNR3500L
5616,AT&T,IPBB,CA,West,-8,-7,12,12,12,1,WNR3500L
5623,CenturyLink,DSL,AZ,West,-7,-7,3,3,3,0.64,WNR3500L
5655,AT&T,IPBB,TX,South,-6,-5,6,6,6,1,WNR3500L
5656,Cox,Cable,CA,West,-8,-7,100,100,100,10,WNR3500L
5711,Verizon,Fiber,NY,Northeast,-5,-4,75,75,75,35,WNR3500L
5728,CenturyLink,DSL,WA,West,-8,-7,40,40,40,2,WNR3500L
5734,Comcast,Cable,CO,West,-7,-6,60,60,60,5,WNR3500L
5757,AT&T,IPBB,CA,West,-8,-7,18,18,18,1.5,WNR3500L
5774,Comcast,Cable,IL,Midwest,-6,-5,60,60,60,5,WNR3500L
5831,Mediacom,Cable,IA,Midwest,-6,-5,100,100,100,10,WNR3500L
5836,Cox,Cable,AZ,West,-7,-7,100,100,100,10,WNR3500L
5842,AT&T,IPBB,TN,South,-6,-5,18,18,18,1.5,WNR3500L
5859,CenturyLink,DSL,CO,West,-7,-6,12,12,12,0.896,WNR3500L
5864,Verizon,Fiber,NJ,Northeast,-5,-4,50,50,50,50,WNR3500L
5871,Comcast,Cable,CO,West,-7,-6,105,105,105,10,WNR3500L
5909,Comcast,Cable,UT,West,-7,-6,60,60,60,5,WNR3500L
5953,Comcast,Cable,TX,South,-6,-5,105,105,105,10,WNR3500L
6007,Frontier,Fiber,TX,South,-8,-7,50,50,50,50,WNR3500L
6018,Comcast,Cable,PA,Northeast,-5,-4,60,60,60,5,WNR3500L
6053,CenturyLink,DSL,OR,West,-8,-7,40,40,40,5,WNR3500L
6071,Comcast,Cable,GA,South,-5,-4,60,60,60,5,WNR3500L
6085,Verizon,Fiber,PA,Northeast,-5,-4,75,75,75,75,WNR3500L
6091,Frontier,Fiber,WA,West,-8,-7,50,50,50,50,WNR3500L
6098,Verizon,Fiber,VA,South,-5,-4,75,75,75,75,WNR3500L
6099,Comcast,Cable,OR,West,-8,-7,70,70,70,5,WNR3500L
6106,CenturyLink,DSL,AZ,West,-7,-7,7,7,7,0.896,WNR3500L
6129,AT&T,IPBB,TX,South,-6,-5,12,12,12,1.5,WNR3500L
6153,Comcast,Cable,MA,Northeast,-5,-4,60,60,60,5,WNR3500L
6167,Verizon,Fiber,PA,Northeast,-5,-4,50,50,50,50,WNR3500L
6169,Cox,Cable,CA,West,-8,-7,100,100,100,10,WNR3500L
6177,Verizon,Fiber,NJ,Northeast,-6,-5,50,50,50,50,WNR3500L
6241,Comcast,Cable,CO,West,-6,-5,60,60,60,5,WNR3500L
6304,Frontier,DSL,CA,West,-8,-7,6,6,6,0.384,WNR3500L
6305,AT&T,IPBB,MO,Midwest,-6,-5,12,12,12,1.5,WNR3500L
6390,Cox,Cable,KS,Midwest,-6,-5,100,100,100,10,WNR3500L
6417,CenturyLink,DSL,NM,West,-7,-6,20,20,20,0.896,WNR3500L
6457,Verizon,Fiber,MD,South,-5,-4,75,75,75,75,WNR3500L
6490,Comcast,Cable,IL,Midwest,-6,-5,60,60,60,5,WNR3500L
6521,Frontier,Fiber,OR,West,-8,-7,50,50,50,50,WNR3500L
6613,Comcast,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
6655,Cox,Cable,VA,South,-5,-4,100,100,100,10,WNR3500L
6663,Comcast,Cable,PA,Northeast,-5,-4,60,60,60,5,WNR3500L
6669,Comcast,Cable,CT,Northeast,-8,-7,60,60,60,5,WNR3500L
6690,Verizon,Fiber,MD,South,-5,-4,75,75,75,75,WNR3500L
6701,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
6794,Verizon,Fiber,NC,South,-5,-4,75,75,75,75,WNR3500L
6813,Comcast,Cable,MI,Midwest,-5,-4,60,60,60,5,WNR3500L
6816,Cox,Cable,AZ,West,-7,-7,100,100,100,10,WNR3500L
6983,CenturyLink,DSL,WA,West,-8,-7,12,12,12,0.896,WNR3500L
6996,CenturyLink,DSL,AZ,West,-7,-7,40,40,40,5,WNR3500L
7120,CenturyLink,DSL,CO,West,-7,-6,40,40,40,5,WNR3500L
7149,Mediacom,Cable,MO,Midwest,-6,-5,60,60,60,5,WNR3500L
7179,AT&T,IPBB,TX,South,-7,-6,6,6,6,1,WNR3500L
7182,Cox,Cable,CA,West,-8,-7,100,100,100,10,WNR3500L
7211,Cox,Cable,AZ,West,-7,-7,30,30,30,3,WNR3500L
7226,AT&T,IPBB,IL,Midwest,-6,-5,12,12,12,1,WNR3500L
7227,Frontier,DSL,NY,Northeast,-5,-4,12,12,12,1,WNR3500L
7262,Cox,Cable,AZ,West,-7,-7,100,100,100,10,WNR3500L
7287,Comcast,Cable,NC,South,-5,-4,60,60,60,5,WNR3500L
7303,Cox,Cable,AZ,West,-7,-7,100,100,100,10,WNR3500L
7307,Verizon,Fiber,MA,Northeast,-5,-4,50,50,50,50,WNR3500L
7320,Windstream,DSL,NE,Midwest,-6,-5,25,25,25,2,WNR3500L
7324,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
7346,Charter,Cable,KY,South,-5,-4,60,60,60,5,WNR3500L
7376,Verizon,Fiber,NY,Northeast,-5,-4,75,75,75,75,WNR3500L
7377,Comcast,Cable,IL,Midwest,-6,-5,60,60,60,5,WNR3500L
7392,Frontier,DSL,WV,South,-5,-4,6,6,6,0.768,WNR3500L
7404,Verizon DSL,DSL,PA,Northeast,-5,-4,[1.1 - 3.0],1.1,3,[0.384 - 0.768],WNR3500L
7416,AT&T,IPBB,CA,West,-8,-7,18,18,18,1.5,WNR3500L
7460,AT&T,IPBB,IL,Midwest,-6,-5,18,18,18,1.5,WNR3500L
7464,Cox,Cable,KS,Midwest,-6,-5,100,100,100,10,WNR3500L
7466,Verizon,Fiber,VA,South,-5,-4,50,50,50,50,WNR3500L
7509,Comcast,Cable,WA,West,-8,-7,70,70,70,5,WNR3500L
7611,CenturyLink,DSL,MN,Midwest,-6,-5,40,40,40,2,WNR3500L
7628,Frontier,Fiber,TX,South,-6,-5,75,75,75,75,WNR3500L
7637,Comcast,Cable,NM,West,-7,-6,105,105,105,10,WNR3500L
7741,Comcast,Cable,DC,South,-5,-4,60,60,60,5,WNR3500L
7749,CenturyLink,DSL,AZ,West,-7,-7,40,40,40,5,WNR3500L
7772,Comcast,Cable,MN,Midwest,-6,-5,60,60,60,5,WNR3500L
7774,CenturyLink,DSL,NE,Midwest,-6,-5,20,20,20,0.896,WNR3500L
7803,Comcast,Cable,WA,West,-8,-7,105,105,105,10,WNR3500L
7826,AT&T,IPBB,GA,South,-5,-4,12,12,12,1.5,WNR3500L
7842,Verizon,Fiber,MA,Northeast,-5,-4,75,75,75,75,WNR3500L
7871,Charter,Cable,HI,West,-10,-10,60,60,60,5,WNR3500L
7887,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
7918,CenturyLink,DSL,VA,South,-5,-4,8,8,8,0.768,WNR3500L
7937,Verizon,Fiber,VA,South,-5,-4,50,50,50,50,WNR3500L
7940,CenturyLink,DSL,NM,West,-7,-6,40,40,40,2,WNR3500L
7942,Windstream,DSL,NM,West,-7,-6,25,25,25,1.5,WNR3500L
7994,CenturyLink,DSL,FL,South,-5,-4,25,25,25,2,WNR3500L
8069,CenturyLink,DSL,FL,South,-5,-4,25,25,25,2,WNR3500L
8071,Verizon,Fiber,NY,Northeast,-5,-4,50,50,50,50,WNR3500L
8075,CenturyLink,DSL,CO,West,-7,-6,40,40,40,5,WNR3500L
8103,CenturyLink,DSL,MN,Midwest,-6,-5,10,10,10,0.768,WNR3500L
8105,Frontier,Fiber,TX,South,-6,-5,75,75,75,75,WNR3500L
8203,Windstream,DSL,KY,South,-5,-4,12,12,12,0.768,WNR3500L
8210,Charter,Cable,WI,Midwest,-6,-5,60,60,60,5,WNR3500L
8237,Windstream,DSL,PA,Northeast,-5,-4,1.5,1.5,1.5,0.768,WNR3500L
8309,Charter,Cable,NC,South,-5,-4,60,60,60,5,WNR3500L
8371,Frontier,DSL,CT,Northeast,-5,-4,3,3,3,0.384,WNR3500L
8375,AT&T,IPBB,IN,Midwest,-5,-4,12,12,12,1,WNR3500L
8380,CenturyLink,DSL,FL,South,-5,-4,20,20,20,2,WNR3500L
8402,Charter,Cable,NC,South,-5,-4,60,60,60,5,WNR3500L
8423,Comcast,Cable,OR,West,-8,-7,60,60,60,5,WNR3500L
8452,CenturyLink,DSL,UT,West,-7,-6,5,5,5,0.896,WNR3500L
8491,CenturyLink,DSL,WA,West,-8,-7,20,20,20,2,WNR3500L
8644,Charter,Cable,HI,West,-10,-10,60,60,60,5,WNR3500L
8687,Cox,Cable,NH,Northeast,-5,-4,100,100,100,10,WNR3500L
8691,Verizon,Fiber,VA,South,-6,-5,75,75,75,75,WNR3500L
8776,CenturyLink,DSL,MN,Midwest,-6,-5,40,40,40,5,WNR3500L
8799,CenturyLink,DSL,MN,Midwest,-6,-5,5,5,5,0.896,WNR3500L
8807,AT&T,IPBB,GA,South,-5,-4,18,18,18,1.5,WNR3500L
8850,Comcast,Cable,MA,Northeast,-5,-4,60,60,60,5,WNR3500L
8943,Charter,Cable,HI,West,-10,-10,60,60,60,5,WNR3500L
8969,AT&T,IPBB,MO,Midwest,-6,-5,18,18,18,3,WNR3500L
8971,Charter,Cable,TX,South,-6,-5,60,60,60,5,WNR3500L
8979,Charter,Cable,NC,South,-5,-4,30,30,30,5,WNR3500L
8988,Frontier,Fiber,CA,West,-8,-7,50,50,50,50,WNR3500L
8996,Charter,Cable,NC,South,-5,-4,60,60,60,5,WNR3500L
9003,Comcast,Cable,IL,Midwest,-6,-5,60,60,60,5,WNR3500L
9014,Cox,Cable,CA,West,-8,-7,100,100,100,10,WNR3500L
9019,CenturyLink,DSL,MN,Midwest,-6,-5,20,20,20,2,WNR3500L
9041,Optimum,Cable,NJ,Northeast,-5,-4,100,100,100,35,WNR3500L
9048,Verizon,Fiber,PA,Northeast,-5,-4,75,75,75,75,WNR3500L
9116,Windstream,DSL,PA,Northeast,-5,-4,6,6,6,0.768,WNR3500L
9150,CenturyLink,DSL,AZ,West,-7,-7,60,60,60,5,WNR3500L
9241,Optimum,Cable,NY,Northeast,-5,-4,100,100,100,35,WNR3500L
9247,Comcast,Cable,MI,Midwest,-5,-4,75,75,75,10,WNR3500L
9290,AT&T,IPBB,TX,South,-6,-5,18,18,18,1.5,WNR3500L
9319,Frontier,DSL,IL,Midwest,-6,-5,12,12,12,1,WNR3500L
9361,Cox,Cable,VA,South,-5,-4,100,100,100,10,WNR3500L
9370,Optimum,Cable,CT,Northeast,-5,-4,100,100,100,35,WNR3500L
9473,CenturyLink,DSL,IA,Midwest,-6,-5,12,12,12,0.896,WNR3500L
9555,Verizon,Fiber,NJ,Northeast,-5,-4,50,50,50,50,WNR3500L
9560,Verizon,Fiber,NY,Northeast,-5,-4,50,50,50,50,WNR3500L
9598,AT&T,IPBB,TX,South,-6,-5,12,12,12,1.5,WNR3500L
9616,AT&T,IPBB,FL,South,-5,-4,12,12,12,1.5,WNR3500L
9632,Mediacom,Cable,GA,South,-5,-4,60,60,60,5,WNR3500L
9661,CenturyLink,DSL,AZ,West,-7,-7,12,12,12,0.896,WNR3500L
9672,Verizon,Fiber,NY,Northeast,-5,-4,75,75,75,75,WNR3500L
9707,Frontier,DSL,WA,West,-6,-5,6,6,6,0.768,WNR3500L
9729,Optimum,Cable,NJ,Northeast,-5,-4,100,100,100,35,WNR3500L
9760,Comcast,Cable,MN,Midwest,-6,-5,70,70,70,5,WNR3500L
9763,Comcast,Cable,MS,South,-6,-5,60,60,60,5,WNR3500L
9888,Windstream,DSL,GA,South,-5,-4,25,25,25,1.5,WNR3500L
9916,Mediacom,Cable,IL,Midwest,-6,-5,60,60,60,5,WNR3500L
9945,Windstream,DSL,KY,South,-5,-4,25,25,25,1.5,WNR3500L
9953,AT&T,IPBB,MS,South,-6,-5,5,5,5,1,WNR3500L
9961,Mediacom,Cable,MO,Midwest,-6,-5,60,60,60,5,WNR3500L
9967,Windstream,DSL,NC,South,-5,-4,25,25,25,1.5,WNR3500L
9980,Verizon,Fiber,VA,South,-5,-4,50,50,50,50,WNR3500L
10009,Windstream,DSL,NC,South,-5,-4,24,24,24,1.5,WNR3500L
10037,AT&T,IPBB,OH,Midwest,-5,-4,6,6,6,0.768,WNR3500L
10090,Mediacom,Cable,IA,Midwest,-6,-5,100,100,100,10,WNR3500L
10096,Windstream,DSL,NC,South,-5,-4,3,3,3,0.768,WNR3500L
10117,Mediacom,Cable,IA,Midwest,-6,-5,100,100,100,10,WNR3500L
10135,Cox,Cable,VA,South,-5,-4,100,100,100,10,WNR3500L
10147,Windstream,DSL,PA,Northeast,-5,-4,6,6,6,0.768,WNR3500L
10149,Windstream,DSL,KY,South,-6,-5,15,15,15,1.5,WNR3500L
10157,Windstream,DSL,FL,South,-5,-4,3,3,3,0.768,WNR3500L
10181,Mediacom,Cable,IL,Midwest,-6,-5,60,60,60,5,WNR3500L
10194,Comcast,Cable,KY,South,-5,-4,100,100,100,10,WNR3500L
10212,Windstream,DSL,AL,South,-6,-5,24,24,24,1.5,WNR3500L
10256,Windstream,DSL,GA,South,-5,-4,12,12,12,0.768,WNR3500L
10339,Verizon,Fiber,MD,South,-5,-4,75,75,75,75,WNR3500L
10358,Charter,Cable,VA,South,-5,-4,60,60,60,5,WNR3500L
10434,Verizon,Fiber,PA,Northeast,-5,-4,50,50,50,50,WNR3500L
10441,Verizon DSL,DSL,NY,Northeast,-5,-4,[1.1 - 3.0],1.1,3,[0.384 - 0.768],WNR3500L
10450,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
10451,Frontier,Fiber,CA,West,-8,-7,50,50,50,50,WNR3500L
10477,Comcast,Cable,CA,West,-8,-7,75,75,75,5,WNR3500L
10494,Charter,Cable,OH,Midwest,-5,-4,60,60,60,5,WNR3500L
10502,Comcast,Cable,PA,Northeast,-5,-4,60,60,60,5,WNR3500L
10513,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
10514,Mediacom,Cable,IA,Midwest,-6,-5,100,100,100,10,WNR3500L
10523,Verizon,Fiber,VA,South,-5,-4,50,50,50,50,WNR3500L
10569,Windstream,DSL,AL,South,-6,-5,12,12,12,0.768,WNR3500L
10571,Verizon,Fiber,MA,Northeast,-6,-5,75,75,75,75,WNR3500L
10592,Frontier,Fiber,FL,South,-5,-4,50,50,50,50,WNR3500L
10610,AT&T,IPBB,WI,Midwest,-6,-5,12,12,12,1,WNR3500L
10637,Cox,Cable,AR,South,-6,-5,100,100,100,10,WNR3500L
10745,CenturyLink,DSL,az,West,-7,-6,40,40,40,5,WNR3500L
10793,AT&T,IPBB,IN,Midwest,-6,-5,12,12,12,1,WNR3500L
10847,Cox,Cable,AZ,West,-7,-7,100,100,100,10,WNR3500L
10856,Frontier,DSL,CA,West,-8,-7,15,15,15,1,WNR3500L
10861,Comcast,Cable,WA,West,-8,-7,25,25,25,10,WNR3500L
10867,Charter,Cable,CA,West,-8,-7,30,30,30,5,WNR3500L
10910,AT&T,IPBB,KY,South,-5,-4,12,12,12,1.5,WNR3500L
10911,AT&T,IPBB,CA,West,-8,-7,6,6,6,0.768,WNR3500L
10922,Comcast,Cable,OR,West,-8,-7,60,60,60,5,WNR3500L
10952,CenturyLink,DSL,MI,Midwest,-5,-4,10,10,10,0.768,WNR3500L
11012,Verizon,Fiber,NJ,Northeast,-5,-4,75,75,75,75,WNR3500L
11052,Charter,Cable,NY,Northeast,-5,-4,30,30,30,5,WNR3500L
11077,Optimum,Cable,CA,West,-8,-7,100,100,100,35,WNR3500L
11123,AT&T,IPBB,OH,Midwest,-5,-4,18,18,18,3,WNR3500L
11130,Cox,Cable,CT,Northeast,-6,-5,30,30,30,3,WNR3500L
11161,Cox,Cable,AZ,West,-7,-7,30,30,30,3,WNR3500L
11223,Charter,Cable,CO,West,-7,-6,30,30,30,5,WNR3500L
11244,Cox,Cable,AZ,West,-7,-7,100,100,100,10,WNR3500L
11310,Verizon,Fiber,MD,South,-5,-4,75,75,75,75,WNR3500L
11316,CenturyLink,DSL,MO,Midwest,-6,-5,10,10,10,0.768,WNR3500L
11366,AT&T,IPBB,IL,Midwest,-6,-5,6,6,6,1,WNR3500L
11386,Comcast,Cable,MA,Northeast,-5,-4,100,100,100,5,WNR3500L
11442,Comcast,Cable,CA,West,-8,-7,75,75,75,5,WNR3500L
11457,Verizon,Fiber,VA,South,-5,-4,75,75,75,75,WNR3500L
11494,Windstream,DSL,GA,South,-5,-4,15,15,15,1.5,WNR3500L
11502,Windstream,DSL,NC,South,-5,-4,3,3,3,0.768,WNR3500L
11524,AT&T,IPBB,NC,South,-5,-4,18,18,18,1,WNR3500L
11590,Charter,Cable,OH,Midwest,-5,-4,70,70,70,5,WNR3500L
11605,Optimum,Cable,NY,Northeast,-5,-4,100,100,100,35,WNR3500L
11609,Mediacom,Cable,CA,West,-8,-7,100,100,100,10,WNR3500L
11612,Comcast,Cable,OR,West,-6,-5,60,60,60,5,WNR3500L
11710,Charter,Cable,HI,West,-10,-10,60,60,60,5,WNR3500L
11718,CenturyLink,DSL,NV,West,-8,-7,20,20,20,2,WNR3500L
11875,Charter,Cable,NC,South,-5,-4,60,60,60,5,WNR3500L
11878,Frontier,DSL,CA,West,-8,-7,3,3,3,0.384,WNR3500L
11880,Verizon DSL,DSL,NY,Northeast,-5,-4,[1.1 - 3.0],1.1,3,[0.384 - 0.768],WNR3500L
11895,Frontier,DSL,PA,Northeast,-5,-4,3,3,3,0.384,WNR3500L
11932,CenturyLink,DSL,UT,West,-7,-6,20,20,20,0.896,WNR3500L
11955,Mediacom,Cable,IA,Midwest,-6,-5,60,60,60,5,WNR3500L
11972,Verizon,Fiber,MA,Northeast,-6,-5,75,75,75,75,WNR3500L
12091,Optimum,Cable,NJ,Northeast,-5,-4,100,100,100,35,WNR3500L
12194,Verizon,Fiber,VA,South,-5,-4,50,50,50,50,WNR3500L
12266,Frontier,DSL,CA,West,-8,-7,15,15,15,1,WNR3500L
12320,Optimum,Cable,NY,Northeast,-5,-4,100,100,100,35,WNR3500L
12328,Frontier,DSL,IL,Midwest,-6,-5,3,3,3,0.768,WNR3500L
12413,Charter,Cable,OH,Midwest,-5,-4,30,30,30,5,WNR3500L
12414,Cox,Cable,VA,South,-5,-4,30,30,30,3,WNR3500L
12443,Mediacom,Cable,MO,Midwest,-6,-5,100,100,100,10,WNR3500L
12445,CenturyLink,DSL,MO,Midwest,-6,-5,10,10,10,0.768,WNR3500L
12460,Cincinnati Bell,DSL,OH,Midwest,-5,-4,5,5,5,0.768,WNR3500L
12485,Verizon,Fiber,VA,South,-5,-4,50,50,50,50,WNR3500L
12555,Comcast,Cable,VA,South,-5,-4,60,60,60,5,WNR3500L
12581,CenturyLink,DSL,WA,West,-5,-4,10,10,10,0.768,WNR3500L
12626,Charter,Cable,NY,Northeast,-5,-4,30,30,30,5,WNR3500L
12640,Verizon DSL,DSL,NJ,Northeast,-6,-5,[1.1 - 3.0],1.1,3,[0.384 - 0.768],WNR3500L
12757,Verizon,Fiber,MA,Northeast,-6,-5,50,50,50,50,WNR3500L
12766,Optimum,Cable,NJ,Northeast,-8,-7,100,100,100,35,WNR3500L
12813,Cox,Cable,NV,West,-8,-7,100,100,100,10,WNR3500L
12826,Comcast,Cable,TN,South,-5,-4,100,100,100,10,WNR3500L
12834,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
12854,Frontier,Fiber,CA,West,-8,-7,75,75,75,75,WNR3500L
12891,CenturyLink,DSL,IA,Midwest,-6,-5,40,40,40,5,WNR3500L
12915,CenturyLink,DSL,MN,Midwest,-6,-5,20,20,20,0.896,WNR3500L
12926,Verizon DSL,DSL,VA,South,-5,-4,[1.1 - 3.0],1.1,3,[0.384 - 0.768],WNR3500L
12931,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
12957,CenturyLink,DSL,WA,West,-8,-7,8,8,8,0.768,WNR3500L
12960,Cox,Cable,NV,West,-6,-5,100,100,100,10,WNR3500L
12962,Charter,Cable,CA,West,-8,-7,60,60,60,5,WNR3500L
12980,Comcast,Cable,IN,Midwest,-8,-7,60,60,60,5,WNR3500L
13020,Comcast,Cable,VA,South,-5,-4,60,60,60,5,WNR3500L
13027,Verizon,Fiber,VA,South,-5,-4,50,50,50,50,WNR3500L
13047,CenturyLink,DSL,FL,South,-5,-4,10,10,10,0.768,WNR3500L
13059,CenturyLink,DSL,FL,South,-5,-4,25,25,25,2,WNR3500L
13066,Charter,Cable,CT,Northeast,-5,-4,60,60,60,5,WNR3500L
13078,Cox,Cable,LA,South,-6,-5,100,100,100,10,WNR3500L
13081,Verizon,Fiber,VA,South,-5,-4,75,75,75,75,WNR3500L
13083,Verizon,Fiber,MD,South,-5,-4,50,50,50,50,WNR3500L
13092,Cox,Cable,NE,Midwest,-6,-5,100,100,100,10,WNR3500L
13093,Cox,Cable,AZ,West,-7,-7,100,100,100,10,WNR3500L
13100,Verizon,Fiber,MD,South,-5,-4,50,50,50,50,WNR3500L
13121,Comcast,Cable,WA,West,-8,-7,60,60,60,5,WNR3500L
13129,Comcast,Cable,IL,Midwest,-6,-5,60,60,60,5,WNR3500L
13147,CenturyLink,DSL,AZ,West,-7,-7,1.5,1.5,1.5,0.896,WNR3500L
13150,Verizon,Fiber,PA,Northeast,-5,-4,50,50,50,50,WNR3500L
13192,Optimum,Cable,NY,Northeast,-5,-4,100,100,100,35,WNR3500L
13226,CenturyLink,DSL,WI,Midwest,-6,-5,10,10,10,0.768,WNR3500L
13256,CenturyLink,DSL,WA,West,-8,-7,3,3,3,0.512,WNR3500L
13277,CenturyLink,DSL,MI,Midwest,-5,-4,10,10,10,0.768,WNR3500L
13302,Cox,Cable,AZ,West,-6,-5,100,100,100,10,WNR3500L
13309,CenturyLink,DSL,WI,Midwest,-6,-5,20,20,20,2,WNR3500L
13339,CenturyLink,DSL,IL,Midwest,-6,-5,10,10,10,0.768,WNR3500L
13341,CenturyLink,DSL,CO,West,-7,-6,10,10,10,0.768,WNR3500L
13365,CenturyLink,DSL,WA,West,-8,-7,10,10,10,0.768,WNR3500L
